ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024
29,경동대학교,대학,사립,강원,B그룹,52.71942561775687,52.72019428442353,52.63879146229106,52.58251677909744,67.02692927038557,66.69175052561519,65.14087887030814,65.45105884495455,66.93958552150454,66.49589853720889,67.03224499075827
30,경민대학교,전문대학,사립,경기,B그룹,52.72934446552069,52.703157389865865,52.699167488388035,52.21136072804813,66.52757081253553,66.77740563829707,66.72130246330381,67.36746571588668,67.32847739827925,67.6924332728677,66.92118918410209
31,경복대학교,전문대학,사립,경기,A그룹,52.645519334111704,52.63422277667501,52.56195694561898,52.478009016877756,66.65708512140608,67.19294773254632,66.70284209828344,66.21867432016654,66.14982616630436,66.85752513015962,66.27490862346129
32,경북과학대학교,전문대학,사립,경북,C그룹,52.8997780746931,52.767662431123654,52.7895980876893,52.58268933502653,68.09915708203732,68.5740873902796,68.67528903197507,68.39299711543772,68.13658158831025,68.27516826892476,68.3939510043266
33,경북대학교,대학,국립,대구,A그룹,49.833755184692265,49.806104470443,51.93481334967412,51.86229449693896,72.20160251543709,73.26484212432284,74.02769504415237,74.4766494339218,74.52333005463383,74.72614637117348,75.00325480711444
34,경북보건대학교,전문대학,사립,경북,C그룹,52.58602909935528,52.663554166403934,52.369317966723926,52.13116910431454,66.58081322996524,66.9577511850435,66.78524170854783,66.7997814008555,67.1095606152158,66.93049350891084,66.89940121870423
35,경북외국어대학교,대학,사립,대구,C그룹,52.81886897456559,52.81724413747286,52.81724413747284,52.727060613158706,67.69327133796001,68.20353722251059,68.21867311139951,68.21867311139953,68.22079255584393,68.22079255584394,68.2264592225106
36,경북전문대학교,전문대학,사립,경북,B그룹,52.547144865897316,52.699286606516395,52.64444020289015,52.43014411869058,66.90742912397867,67.66279735041954,67.24075325295432,67.18309450296644,67.51934759848285,67.5517232856411,67.5960896248546
37,경상국립대학교,대학,국립,경남,A그룹,46.57510274171599,48.05818910643114,48.574341144920716,49.13120905254733,69.04213166541226,71.27990087654419,71.34670736834337,72.22009547793506,72.43013044706022,72.70869292977896,72.90985142995086
38,경성대학교,대학,사립,부산,A그룹,48.83695436440229,49.538817882490704,49.60885696724858,49.75244601299138,66.49471100005829,66.93656294745414,67.11176680201328,67.53005727852353,67.90945767631155,67.62211833000235,67.74698650837942
39,경안대학원대학교,대학원대학,사립,경북,-,52.704285759995244,52.68756705080987,52.64596407002501,52.72486792114145,67.90051387626511,68.54292465776211,68.23516039039549,68.26802883695846,68.19966201919482,68.17570044048848,68.13982845961641
40,경운대학교,대학,사립,경북,C그룹,52.19070690777034,52.43552581769736,52.8187292941522,52.3593899414579,66.96556348301043,67.29060650201025,67.21099356912677,67.28356687053281,67.27521541510559,67.41219107025445,67.69398577280307
41,경인교육대학교,대학,국립,인천,C그룹,50.61557544854622,50.270062817501554,50.814310526865434,51.330777563573875,64.93605199123388,64.8697179133729,65.05344412034593,66.59488141329373,67.43136136070787,66.52409959035988,66.17027733669914
42,경인여자대학교,전문대학,사립,인천,B그룹,52.2918570860199,52.05012100370164,51.35155030784587,51.29856407313195,65.82142908239577,66.30361779971484,67.16950960108618,67.07752933321574,67.55641618363012,67.47422991997524,66.94508050589036
43,경일대학교,대학,사립,경북,B그룹,51.71215489677791,52.30241849143885,52.10011370053429,52.29475319038613,67.30694775278182,67.24792400815652,67.13121438888943,67.15530430469352,67.06552820539305,67.10186225412168,67.11562298890468
44,경찰대학,기타,기타,충남,-,52.298477246400104,52.600718475674526,52.58025230628835,52.46912048710241,66.85705828475133,67.27929787135491,67.3229677526374,67.30407376024381,67.30381120468827,67.4495010542247,68.09443766203563
45,경희대학교,대학,사립,서울,A그룹,49.75188781042687,47.827443987056405,51.670409726555626,50.00107610326821,71.16583129927622,72.92190361874108,73.89621676278786,75.00887470281397,75.27315711284827,75.52697541742717,75.59207838430137
46,계명대학교,대학,사립,대구,A그룹,52.175234293684326,50.58449179100665,51.91187390244875,52.195268514564205,67.93199182821189,68.29092394655281,67.80084398510706,68.66816842915787,66.80708024697027,69.69148229250861,69.85947198255772
47,계명문화대학교,전문대학,사립,대구,A그룹,51.735601965953805,51.84844980152344,51.75687569610744,51.89554177266026,66.53349081355745,67.24911553227426,66.60494787713348,66.39249081084104,66.1854256180767,66.39752020214004,67.16161713645387
48,계약신학대학원대학교,대학원대학,사립,경기,-,52.33965139519629,52.39847628041328,52.33484690127522,52.34145990915993,65.68171079045499,66.2789077515209,66.23686301067842,67.27389453603331,68.4624833699269,68.22079255584394,68.2264592225106
49,계원예술대학교,전문대학,사립,경기,B그룹,52.07120755219372,52.623599136574306,51.88949588650768,51.86695808321958,66.63496605909765,66.73957160421283,67.55225314557059,68.00002311220747,67.99505320697683,67.71163792075197,67.4505406616427
50,고려대학교,대학,사립,서울,A그룹,53.08375242099772,53.58617651190095,53.951019911084785,54.72375901113162,74.92200800999083,76.81098955193013,77.30159710649767,78.11332204287059,78.72744185542068,78.54691596148477,78.73877197247053
51,고려대학교(세종),대학,사립,세종,B그룹,50.66728787917094,49.81468132855328,49.91264170934241,51.73653413552868,66.99574935594758,67.57679612818828,67.52320248083007,68.0377847958506,68.06436346710476,68.0387999338806,68.28756494453276
52,고려사이버대학교,대학,사립,서울,A그룹,52.80526615606448,52.80965450784323,52.81545450784322,52.72527098352907,67.64665614634849,68.15692203089908,68.09476475085297,68.07337829752854,68.07124020229043,68.12220384683955,68.08685142755947
53,고신대학교,대학,사립,부산,C그룹,51.92903148888434,52.347276869431695,52.28558528584537,52.394029614756825,66.85495542255188,67.01788485927825,67.06949835060271,67.17911690277687,67.24275650960155,67.84600324749536,68.30485191699574
54,공군사관학교,기타,기타,충북,-,52.35353402882489,52.39216323603285,52.02483145991093,51.84927154550546,67.02436349230017,67.48847861471633,67.72515333833039,67.5907917953704,67.67660798431301,67.28956962895809,68.2264592225106
55,공주교육대학교,대학,국립,충남,C그룹,51.852587528375985,51.21938157310118,51.64917297021331,51.58543979024176,66.47463295695503,66.60411757944216,66.3383645990228,67.7695030397388,67.63362633865336,66.87819498608917,67.28647395251105
56,과학기술연합대학원대학교,대학원대학,국립,대전,-,52.80618564123225,53.34338443353981,53.35053995626113,53.113983753816974,68.18728509172674,68.75901237046618,69.471965929514,69.55753166388715,69.46099704275017,69.41490622380593,69.43603169712243
57,광신대학교,대학,사립,광주,C그룹,52.479082529742215,52.45179488162958,52.55151083007111,52.686318247724536,67.5272374896144,68.01755730981824,67.76257438033454,68.10144118624689,68.23116000048334,68.21543705083708,68.35597535621234
58,광양보건대학교,전문대학,사립,전남,C그룹,52.7151941323458,52.68391538034232,52.89167002979947,52.60760519216938,67.061704792877,67.86044147430596,68.07611068430546,68.28248770061913,68.10719334261796,67.96752211450838,67.97598878117505
59,광운대학교,대학,사립,서울,B그룹,48.81926436854848,49.78934199447578,50.23905702065695,52.04124129474947,64.21935942591323,67.05944510980274,67.1275042929574,68.23252919791318,67.31221398196585,67.19865615855075,67.55576305290207
60,광주가톨릭대학교,대학,사립,전남,C그룹,52.35290033602885,52.3441639680635,52.35356918148341,52.30415604025613,65.20183984165496,65.5128806444771,65.47105889212823,65.47565364738028,65.40044169788536,65.38508279032231,65.41914779032233
61,광주과학기술원,대학,국립,광주,C그룹,52.81886897456559,52.81724413747286,52.81724413747284,50.45583299844297,67.9743674684425,68.37061319630838,69.8799750422868,70.32680391924417,71.45251980786888,71.71760921570765,71.23799497567056
62,광주교육대학교,대학,국립,광주,C그룹,51.727068003313065,51.99828142219424,51.963995565433905,52.03585109475282,66.718190923803,66.05098137148819,67.24688598695565,67.61079437708133,67.44979221063079,67.68572920103945,67.82373603304828
63,광주대학교,대학,사립,광주,B그룹,52.568969591826644,52.415231212774515,52.654158423155174,51.9781369713318,66.86507068683463,66.69856905323067,66.89989385707914,67.09459906852098,67.12989524725914,67.24323450457314,67.13045529783642
64,광주보건대학교,전문대학,사립,광주,B그룹,52.764774684328984,52.78043142584028,52.78895597406125,52.61064759144837,67.91267172883354,68.35916274679533,68.16128341074973,68.55053399819843,68.40108986073281,68.45556362701463,68.51612978832912
65,광주여자대학교,대학,사립,광주,C그룹,51.65883039647191,52.379632333091074,52.52109353672379,51.841549483863254,66.75718367595782,67.41945669543712,67.47450347924567,67.28333399403664,67.33825485660964,67.2900957078319,67.34787363682074
66,구미대학교,전문대학,사립,경북,A그룹,52.76799642646554,52.745090164085454,52.72165802973993,52.48640868324158,66.77265907831664,67.19915046946494,67.23331380175786,67.60010005325708,67.87066443150269,67.22488739558281,67.92814198128484
67,구세군사관대학원대학교,대학원대학,사립,경기,-,52.32050163933334,52.361663127168335,52.61832500629895,52.532703042568116,65.96904658407439,66.32681043914873,66.35439543755628,66.49673623464571,66.43452102670987,66.49815301432916,67.22736847477377
68,국군간호사관학교,기타,기타,대전,-,52.12553490602801,52.677373572983,52.67382474245755,52.56873925379706,67.05144033125059,67.45310833466746,67.5220130568897,68.13394234997551,67.7081734427825,68.1150130988542,68.11746573043315
69,국립강릉원주대학교,대학,국립,강원,B그룹,51.57935573543121,51.89878605433222,51.675186739747105,51.47008006026722,66.76061674895546,67.07373599417816,67.2115395966963,67.37091603981314,67.24663397645155,67.33716828933132,67.41675797465159
70,국립경국대학교,대학,국립,경북,B그룹,51.25565753259477,51.54866457801409,51.98754595422184,52.22332688185871,67.01269295782132,67.28856533965474,67.5158140426033,67.36024800446047,67.40652254765158,67.45475586112016,67.85478169396632
71,국립공주대학교,대학,국립,충남,A그룹,47.48566843745592,48.82170558844392,49.474159423628706,49.06741878442813,67.40437676079142,67.5983310358017,68.18244103142104,67.75967231226852,67.49365113156996,67.55973161641978,68.37506774690023
72,국립군산대학교,대학,국립,전북,B그룹,50.16488013950449,50.2600195168286,51.07712945215272,51.051209281976654,66.65618888051418,67.03593687925986,66.80722585358201,67.40123433803916,67.30681913342221,67.43899333504436,67.58565247328397
